hypervisor,host,guest,ram,tcp_time_bytes_received,udp_time_bytes_received,tcp_space_time_elapsed,udp_space_time_elapsed
vbox,windows,debian,5,154914378,1310796,5.616202,10.473134994506836
vbox,windows,debian,5,158790432,1310796,4.566001,10.473675966262817
vbox,windows,debian,5,157147128,1310796,4.445346,10.474025011062622
vbox,windows,debian,5,138027918,1310796,4.763553,10.473730802536011
vmware,mac,ubuntu,2,80787078,1310796,11.115725,10.473267
vmware,mac,ubuntu,2,65161950,1310796,10.767428,10.472597
vmware,mac,ubuntu,2,81100350,1310796,11.163898,10.47342
vmware,mac,ubuntu,2,79716732,1310796,11.099329,10.473587
vmware,mac,ubuntu,2,72703836,1310796,10.694103,10.473336
vmware,windows,ubuntu,5,154099596,1310796,7.364934,10.473409
vmware,windows,ubuntu,5,154437600,1310796,5.425177,10.472933
vmware,windows,ubuntu,5,141923208,1310796,6.078992,10.473906
vmware,windows,ubuntu,5,156572796,1310796,4.85598,10.472968999999999
vmware,windows,ubuntu,5,155727786,1310796,6.353721,10.47308
vmware,mac,ubuntu,4,75934110,1310796,11.245693,10.472634
vmware,mac,ubuntu,4,80149542,1310796,10.470097,10.473445
vmware,mac,ubuntu,4,79969548,1310796,10.963195,10.472539
vmware,mac,ubuntu,4,80490294,1310796,11.529024,10.473611
vmware,mac,ubuntu,4,80084964,1310796,11.601585,10.473329
vmware,windows,debian,5,156214182,1310796,5.168564,10.474011898040771
vmware,windows,debian,5,145810254,1310796,5.101469,10.472701072692871
vmware,windows,debian,5,124881486,1310796,5.131096,10.472827911376953
vmware,windows,debian,5,149667072,1310796,5.785813,10.473045110702515
vmware,windows,debian,5,141930078,1310796,4.841575,10.472636938095093
vmware,mac,ubuntu,5,78893706,1310796,11.317942,10.473433
vmware,mac,ubuntu,5,79748334,1310796,13.338158,10.473314
vmware,mac,ubuntu,5,80444952,1310796,12.838603,10.473514
vmware,mac,ubuntu,5,80929974,1310796,10.507536,10.473459
vmware,mac,ubuntu,5,79928328,1310796,11.087037,10.472658
vmware,windows,debian,2,158552730,1310796,5.237066,10.47356104850769
vmware,windows,debian,2,157531848,1310796,6.561051,10.472885131835938
vmware,windows,debian,2,158148774,1310796,5.678194,10.472992897033691
vmware,windows,debian,2,159499416,1310796,6.017799,10.47324800491333
vmware,windows,debian,2,139388178,1309422,5.585686,10.472739934921265
vbox,windows,debian,4,77188572,1310796,3.920723,10.473745107650757
vbox,windows,debian,4,76761258,1310796,9.938823,10.473830223083496
vbox,windows,debian,4,69704394,1310796,9.619933,10.472465038299561
vbox,windows,debian,4,76753014,1310796,9.396791,10.473628997802734
vbox,windows,debian,4,75409242,1310796,8.965952,10.473480939865112
vbox,mac,ubuntu,4,80962950,1310796,9.682145,10.473373
vbox,mac,ubuntu,4,80546628,1310796,11.182735,10.473368
vbox,mac,ubuntu,4,79687878,1310796,11.724307,10.473348
vbox,mac,ubuntu,4,79991532,1310796,11.524499,10.473395
vbox,mac,ubuntu,4,80451822,1310796,10.3762,10.472486
vbox,mac,ubuntu,5,80574108,1310796,11.361665,10.473484
vbox,mac,ubuntu,5,80318544,1310796,10.34005,10.473252
vbox,mac,ubuntu,5,6635046,1310796,12.96427,10.473333
vbox,mac,ubuntu,5,80387244,1310796,10.953577,10.473182
vbox,mac,ubuntu,5,69747198,1310796,11.766106,10.472384
vmware,windows,ubuntu,2,151894326,1310796,5.289329,10.472746
vmware,windows,ubuntu,2,150788256,1310796,5.292715,10.473071000000001
vmware,windows,ubuntu,2,150791004,1310796,6.331737,10.473584
vmware,windows,ubuntu,2,139098264,1310796,6.683379,10.472804
vmware,windows,ubuntu,2,144972114,1310796,7.328373,10.473868
vbox,windows,ubuntu,4,58981698,1310796,11.291556,10.472379
vbox,windows,ubuntu,4,71959128,1310796,12.54332,10.473131
vbox,windows,ubuntu,4,72644754,1310796,11.731464,10.473209
vbox,windows,ubuntu,4,73308396,1310796,11.451599,10.47454
vbox,windows,ubuntu,4,72519720,1310796,11.955607,10.473663
vmware,windows,debian,4,148501920,1310796,5.280964,10.473191976547241
vmware,windows,debian,4,113011500,1309422,5.167074,10.473525047302246
vmware,windows,debian,4,135990276,1309422,5.299862,10.473253965377808
vmware,windows,debian,4,144363432,1310796,5.00294,10.472890138626099
vmware,windows,debian,4,158397468,1310796,6.511631,10.472637176513672
vbox,windows,debian,2,60982242,1310796,10.80719,10.473672866821289
vbox,windows,debian,2,73121532,1310796,11.599865,10.473128080368042
vbox,windows,debian,2,76688436,1310796,10.985602,10.473233938217163
vbox,windows,debian,2,78026712,1310796,13.226453,10.473325967788696
vbox,windows,debian,2,78498200,1310796,12.740992,10.473110914230347
vbox,mac,ubuntu,2,66203442,1310796,10.875617,10.473269
vbox,mac,ubuntu,2,80604336,1310796,10.439342,10.473335
vbox,mac,ubuntu,2,79899474,1310796,10.766788,10.473401
vbox,mac,ubuntu,2,80068476,1310796,11.582383,10.473263
vbox,mac,ubuntu,2,79899474,1310796,10.942501,10.47325
vmware,windows,ubuntu,4,155899536,1310796,6.424339,10.473326
vmware,windows,ubuntu,4,157478262,1310796,5.245125,10.472864
vmware,windows,ubuntu,4,159032256,1310796,4.802097,10.472781
vmware,windows,ubuntu,4,140436540,1310796,5.141136,10.473987
vmware,windows,ubuntu,4,161104248,1310796,5.070996,10.47384
vbox,windows,ubuntu,2,152398584,1310796,5.369703,10.47311
vbox,windows,ubuntu,2,157468644,1310796,5.106995,10.472814
vbox,windows,ubuntu,2,159460944,1310796,5.163418,10.473866
vbox,windows,ubuntu,2,156052050,1310796,5.216535,10.472644
vbox,windows,ubuntu,2,155121852,1310796,6.415493,10.472873
