hypervisor,host,guest,ram,randread runtime (ms),randwrite runtime (ms),seqread runtime (ms),seqwrite runtime (ms)
vmware,windows,ubuntu,4,52101.0,15022.0,3020.0,3370.0
vmware,windows,ubuntu,4,42295.0,17687.0,3491.0,3682.0
vmware,windows,ubuntu,4,44013.0,17345.0,3731.0,3766.0
vmware,windows,ubuntu,4,42408.0,17290.0,3311.0,3703.0
vmware,windows,ubuntu,4,41770.0,17836.0,3398.0,3627.0
vbox,windows,centos,4,42904.0,6340.0,2218.0,3612.0
vbox,windows,centos,4,40785.0,7944.0,2323.0,2873.0
vbox,windows,centos,4,39339.0,8452.0,2476.0,2787.0
vbox,windows,centos,4,39241.0,8644.0,2229.0,2709.0
vbox,windows,centos,4,60002.0,28772.0,7556.0,9250.0
vmware,windows,debian,4,51128.0,15494.0,2670.0,2913.0
vmware,windows,debian,4,42851.0,15158.0,3038.0,3262.0
vmware,windows,debian,4,42744.0,15639.0,2972.0,3191.0
vmware,windows,debian,4,42026.0,14931.0,2971.0,3215.0
vmware,windows,debian,4,42701.0,14683.0,2886.0,3115.0
vmware,windows,ubuntu,2,40616.0,28934.0,3717.0,4130.0
vmware,windows,ubuntu,2,54438.0,40352.0,4515.0,5929.0
vmware,windows,ubuntu,2,60003.0,53324.0,5267.0,6996.0
vmware,windows,ubuntu,2,52711.0,38893.0,4001.0,5506.0
vmware,windows,ubuntu,2,51718.0,36022.0,3981.0,5554.0
vbox,windows,centos,2,36480.0,20974.0,2498.0,3440.0
vbox,windows,centos,2,38436.0,23086.0,2402.0,3441.0
vbox,windows,centos,2,38848.0,23173.0,2509.0,3322.0
vbox,windows,centos,2,39537.0,22621.0,2390.0,3166.0
vbox,windows,centos,2,38696.0,22490.0,2411.0,3313.0
vmware,mac,centos,4,52266.0,21353.0,3572.0,4341.0
vmware,mac,centos,4,60001.0,21551.0,3797.0,3385.0
vmware,mac,centos,4,60001.0,19575.0,2952.0,2920.0
vmware,mac,centos,4,60001.0,18786.0,3805.0,3478.0
vmware,mac,centos,4,60001.0,22798.0,4137.0,3787.0
vmware,mac,centos,5,56903.0,20263.0,5335.0,5177.0
vmware,mac,centos,5,57921.0,14810.0,4109.0,6150.0
vmware,mac,centos,5,50871.0,14635.0,3798.0,4045.0
vmware,mac,centos,5,56440.0,12188.0,4497.0,3712.0
vmware,mac,centos,5,54851.0,12400.0,4188.0,4399.0
vmware,windows,debian,5,53631.0,10164.0,2443.0,2623.0
vmware,windows,debian,5,43184.0,11132.0,2903.0,2954.0
vmware,windows,debian,5,42142.0,11228.0,2940.0,2972.0
vmware,windows,debian,5,42214.0,10445.0,2862.0,3077.0
vmware,windows,debian,5,45124.0,10898.0,3098.0,3324.0
vmware,windows,ubuntu,5,55193.0,11283.0,2644.0,3015.0
vmware,windows,ubuntu,5,39923.0,11720.0,2952.0,3155.0
vmware,windows,ubuntu,5,39607.0,11346.0,3016.0,3155.0
vmware,windows,ubuntu,5,39699.0,11629.0,2958.0,3239.0
vmware,windows,ubuntu,5,39493.0,11268.0,2941.0,3308.0
vmware,mac,debian,2,45769.0,24542.0,2178.0,4141.0
vmware,mac,debian,2,57028.0,27129.0,2207.0,7102.0
vmware,mac,debian,2,51855.0,28800.0,2127.0,5488.0
vmware,mac,debian,2,48843.0,25525.0,2148.0,3758.0
vmware,mac,debian,2,58387.0,24462.0,3568.0,3555.0
vbox,windows,centos,5,37042.0,4523.0,2166.0,2489.0
vbox,windows,centos,5,39034.0,5080.0,2473.0,2513.0
